Vendor;Description;Category;Url;FeedStatus
iBlocklist.com;IP ranges sharing child pornography in p2p community;IP;http://list.iblocklist.com/?list=dufcxgnbjsdwmwctgfuj&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Apple IPs;BLOCKLIST;http://list.iblocklist.com/?list=aphcqvpxuqgrkgufjruj&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;LogMeIn IPs;BLOCKLIST;http://list.iblocklist.com/?list=tgbankumtwtrzllndbmb&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Steam IPs;BLOCKLIST;http://list.iblocklist.com/?list=cnxkgiklecdaihzukrud&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;XFire IPs;BLOCKLIST;http://list.iblocklist.com/?list=ppqqnyihmcrryraaqsjo&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Blizzard IPs;BLOCKLIST;http://list.iblocklist.com/?list=ercbntshuthyykfkmhxc&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Ubisoft IPs;BLOCKLIST;http://list.iblocklist.com/?list=etmcrglomupyxtaebzht&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Nintendo IPs;BLOCKLIST;http://list.iblocklist.com/?list=pevkykuhgaegqyayzbnr&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Activision IPs;BLOCKLIST;http://list.iblocklist.com/?list=gfnxlhxsijzrcuxwzebb&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Sony Online Entertainment IPs;BLOCKLIST;http://list.iblocklist.com/?list=tukpvrvlubsputmkmiwg&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Crowd Control Productions IPs;BLOCKLIST;http://list.iblocklist.com/?list=eveiyhgmusglurfmjyag&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Linden Lab IPs;BLOCKLIST;http://list.iblocklist.com/?list=qnjdimxnaupjmpqolxcv&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Electronic Arts IPs;BLOCKLIST;http://list.iblocklist.com/?list=ejqebpcdmffinaetsvxj&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Square Enix IPs;BLOCKLIST;http://list.iblocklist.com/?list=odyaqontcydnodrlyina&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;NCsoft IPs;BLOCKLIST;http://list.iblocklist.com/?list=mwjuwmebrnzyyxpbezxu&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Riot Games IPs;BLOCKLIST;http://list.iblocklist.com/?list=sdlvfabdjvrdttfjotcy&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Punkbuster IPs;BLOCKLIST;http://list.iblocklist.com/?list=zvwwndvzulqcltsicwdg&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Joost IPs;BLOCKLIST;http://list.iblocklist.com/?list=alxugfmeszbhpxqfdits&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Pandora IPs;BLOCKLIST;http://list.iblocklist.com/?list=aevzidimyvwybzkletsg&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;The Pirate Bay IPs;BLOCKLIST;http://list.iblocklist.com/?list=nzldzlpkgrcncdomnttb&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;AOL IPs;BLOCKLIST;http://list.iblocklist.com/?list=toboaiysofkflwgrttmb&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Comcast IPs;BLOCKLIST;http://list.iblocklist.com/?list=rsgyxvuklicibautguia&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Cablevision IPs;BLOCKLIST;http://list.iblocklist.com/?list=dwwbsmzirrykdlvpqozb&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Verizon IPs;BLOCKLIST;http://list.iblocklist.com/?list=cdmdbprvldivlqsaqjol&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;AT&T IPs;BLOCKLIST;http://list.iblocklist.com/?list=grbtkzijgrowvobvessf&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Cox Communications IPs;BLOCKLIST;http://list.iblocklist.com/?list=nlgdvmvfxvoimdunmuju&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Time Warner Cable IPs;BLOCKLIST;http://list.iblocklist.com/?list=aqtsnttnqmcucwrjmohd&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Charter IPs;BLOCKLIST;http://list.iblocklist.com/?list=htnzojgossawhpkbulqw&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Qwest IPs;BLOCKLIST;http://list.iblocklist.com/?list=jezlifrpefawuoawnfez&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Embarq IPs;BLOCKLIST;http://list.iblocklist.com/?list=twdblifaysaqtypevvdp&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Suddenlink IPs;BLOCKLIST;http://list.iblocklist.com/?list=psaoblrwylfrdsspfuiq&fileformat=p2p&archiveformat=gz;Active
iBlocklist.com;Sprint IPs;BLOCKLIST;http://list.iblocklist.com/?list=hngtqrhhuadlceqxbrob&fileformat=p2p&archiveformat=gz;Active
